feature,importance,fold
OCCUPATION_TYPE_Managers,0,1
OCCUPATION_TYPE_Medicine_staff,21,1
OCCUPATION_TYPE_Private_service_staff,9,1
OCCUPATION_TYPE_Realty_agents,0,1
OCCUPATION_TYPE_Sales_staff,10,1
OCCUPATION_TYPE_Secretaries,0,1
OCCUPATION_TYPE_Security_staff,0,1
OCCUPATION_TYPE_Waiters_barmen_staff,8,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,14,1
WEEKDAY_APPR_PROCESS_START_MONDAY,15,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,11,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,23,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,8,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,34,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,20,1
ORGANIZATION_TYPE_Advertising,0,1
ORGANIZATION_TYPE_Agriculture,0,1
ORGANIZATION_TYPE_Bank,36,1
ORGANIZATION_TYPE_Business_Entity_Type_1,2,1
ORGANIZATION_TYPE_Business_Entity_Type_2,6,1
ORGANIZATION_TYPE_Business_Entity_Type_3,56,1
ORGANIZATION_TYPE_Cleaning,0,1
ORGANIZATION_TYPE_Construction,46,1
ORGANIZATION_TYPE_Culture,0,1
ORGANIZATION_TYPE_Electricity,2,1
ORGANIZATION_TYPE_Emergency,0,1
ORGANIZATION_TYPE_Government,6,1
ORGANIZATION_TYPE_Hotel,14,1
ORGANIZATION_TYPE_Housing,0,1
ORGANIZATION_TYPE_Industry__type_1,0,1
ORGANIZATION_TYPE_Industry__type_10,0,1
ORGANIZATION_TYPE_Industry__type_11,0,1
ORGANIZATION_TYPE_Industry__type_12,0,1
ORGANIZATION_TYPE_Industry__type_13,0,1
ORGANIZATION_TYPE_Industry__type_2,0,1
ORGANIZATION_TYPE_Industry__type_3,3,1
ORGANIZATION_TYPE_Industry__type_4,0,1
ORGANIZATION_TYPE_Industry__type_5,0,1
ORGANIZATION_TYPE_Industry__type_6,0,1
ORGANIZATION_TYPE_Industry__type_7,0,1
ORGANIZATION_TYPE_Industry__type_8,0,1
ORGANIZATION_TYPE_Industry__type_9,40,1
ORGANIZATION_TYPE_Insurance,0,1
ORGANIZATION_TYPE_Kindergarten,16,1
ORGANIZATION_TYPE_Legal_Services,0,1
ORGANIZATION_TYPE_Medicine,17,1
ORGANIZATION_TYPE_Military,49,1
ORGANIZATION_TYPE_Mobile,0,1
ORGANIZATION_TYPE_Other,1,1
ORGANIZATION_TYPE_Police,17,1
ORGANIZATION_TYPE_Postal,0,1
ORGANIZATION_TYPE_Realtor,0,1
ORGANIZATION_TYPE_Religion,0,1
ORGANIZATION_TYPE_Restaurant,9,1
ORGANIZATION_TYPE_School,34,1
ORGANIZATION_TYPE_Security,0,1
ORGANIZATION_TYPE_Security_Ministries,14,1
ORGANIZATION_TYPE_Self_employed,79,1
ORGANIZATION_TYPE_Services,0,1
ORGANIZATION_TYPE_Telecom,0,1
ORGANIZATION_TYPE_Trade__type_1,0,1
ORGANIZATION_TYPE_Trade__type_2,0,1
ORGANIZATION_TYPE_Trade__type_3,6,1
ORGANIZATION_TYPE_Trade__type_4,0,1
ORGANIZATION_TYPE_Trade__type_5,0,1
ORGANIZATION_TYPE_Trade__type_6,0,1
ORGANIZATION_TYPE_Trade__type_7,7,1
ORGANIZATION_TYPE_Transport__type_1,0,1
ORGANIZATION_TYPE_Transport__type_2,0,1
ORGANIZATION_TYPE_Transport__type_3,42,1
ORGANIZATION_TYPE_Transport__type_4,0,1
ORGANIZATION_TYPE_University,0,1
ORGANIZATION_TYPE_XNA,0,1
FONDKAPREMONT_MODE_not_specified,5,1
FONDKAPREMONT_MODE_org_spec_account,5,1
FONDKAPREMONT_MODE_reg_oper_account,0,1
FONDKAPREMONT_MODE_reg_oper_spec_account,6,1
HOUSETYPE_MODE_block_of_flats,0,1
HOUSETYPE_MODE_specific_housing,8,1
HOUSETYPE_MODE_terraced_house,0,1
WALLSMATERIAL_MODE_Block,4,1
WALLSMATERIAL_MODE_Mixed,0,1
WALLSMATERIAL_MODE_Monolithic,0,1
WALLSMATERIAL_MODE_Others,20,1
WALLSMATERIAL_MODE_Panel,11,1
WALLSMATERIAL_MODE_Stone__brick,38,1
WALLSMATERIAL_MODE_Wooden,0,1
EMERGENCYSTATE_MODE_No,0,1
EMERGENCYSTATE_MODE_Yes,0,1
DAYS_EMPLOYED_PERC,526,1
INCOME_CREDIT_PERC,255,1
INCOME_PER_PERSON,236,1
ANNUITY_INCOME_PERC,430,1
PAYMENT_RATE,1243,1
BURO_DAYS_CREDIT_MIN,194,1
BURO_DAYS_CREDIT_MAX,237,1
BURO_DAYS_CREDIT_MEAN,243,1
BURO_DAYS_CREDIT_VAR,249,1
BURO_DAYS_CREDIT_ENDDATE_MIN,145,1
BURO_DAYS_CREDIT_ENDDATE_MAX,306,1
BURO_DAYS_CREDIT_ENDDATE_MEAN,208,1
BURO_DAYS_CREDIT_UPDATE_MEAN,161,1
