feature,importance,fold
OCCUPATION_TYPE_Managers,1,1
OCCUPATION_TYPE_Medicine_staff,14,1
OCCUPATION_TYPE_Private_service_staff,1,1
OCCUPATION_TYPE_Realty_agents,0,1
OCCUPATION_TYPE_Sales_staff,8,1
OCCUPATION_TYPE_Secretaries,0,1
OCCUPATION_TYPE_Security_staff,0,1
OCCUPATION_TYPE_Waiters_barmen_staff,6,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,9,1
WEEKDAY_APPR_PROCESS_START_MONDAY,31,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,25,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,21,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,1,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,13,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,13,1
ORGANIZATION_TYPE_Advertising,0,1
ORGANIZATION_TYPE_Agriculture,0,1
ORGANIZATION_TYPE_Bank,29,1
ORGANIZATION_TYPE_Business_Entity_Type_1,0,1
ORGANIZATION_TYPE_Business_Entity_Type_2,0,1
ORGANIZATION_TYPE_Business_Entity_Type_3,41,1
ORGANIZATION_TYPE_Cleaning,0,1
ORGANIZATION_TYPE_Construction,47,1
ORGANIZATION_TYPE_Culture,0,1
ORGANIZATION_TYPE_Electricity,0,1
ORGANIZATION_TYPE_Emergency,0,1
ORGANIZATION_TYPE_Government,0,1
ORGANIZATION_TYPE_Hotel,2,1
ORGANIZATION_TYPE_Housing,0,1
ORGANIZATION_TYPE_Industry__type_1,0,1
ORGANIZATION_TYPE_Industry__type_10,0,1
ORGANIZATION_TYPE_Industry__type_11,0,1
ORGANIZATION_TYPE_Industry__type_12,0,1
ORGANIZATION_TYPE_Industry__type_13,0,1
ORGANIZATION_TYPE_Industry__type_2,0,1
ORGANIZATION_TYPE_Industry__type_3,1,1
ORGANIZATION_TYPE_Industry__type_4,0,1
ORGANIZATION_TYPE_Industry__type_5,0,1
ORGANIZATION_TYPE_Industry__type_6,0,1
ORGANIZATION_TYPE_Industry__type_7,0,1
ORGANIZATION_TYPE_Industry__type_8,0,1
ORGANIZATION_TYPE_Industry__type_9,34,1
ORGANIZATION_TYPE_Insurance,0,1
ORGANIZATION_TYPE_Kindergarten,10,1
ORGANIZATION_TYPE_Legal_Services,0,1
ORGANIZATION_TYPE_Medicine,22,1
ORGANIZATION_TYPE_Military,43,1
ORGANIZATION_TYPE_Mobile,0,1
ORGANIZATION_TYPE_Other,1,1
ORGANIZATION_TYPE_Police,16,1
ORGANIZATION_TYPE_Postal,0,1
ORGANIZATION_TYPE_Realtor,0,1
ORGANIZATION_TYPE_Religion,0,1
ORGANIZATION_TYPE_Restaurant,7,1
ORGANIZATION_TYPE_School,31,1
ORGANIZATION_TYPE_Security,0,1
ORGANIZATION_TYPE_Security_Ministries,5,1
ORGANIZATION_TYPE_Self_employed,69,1
ORGANIZATION_TYPE_Services,0,1
ORGANIZATION_TYPE_Telecom,0,1
ORGANIZATION_TYPE_Trade__type_1,0,1
ORGANIZATION_TYPE_Trade__type_2,1,1
ORGANIZATION_TYPE_Trade__type_3,1,1
ORGANIZATION_TYPE_Trade__type_4,0,1
ORGANIZATION_TYPE_Trade__type_5,0,1
ORGANIZATION_TYPE_Trade__type_6,0,1
ORGANIZATION_TYPE_Trade__type_7,4,1
ORGANIZATION_TYPE_Transport__type_1,0,1
ORGANIZATION_TYPE_Transport__type_2,0,1
ORGANIZATION_TYPE_Transport__type_3,40,1
ORGANIZATION_TYPE_Transport__type_4,0,1
ORGANIZATION_TYPE_University,0,1
ORGANIZATION_TYPE_XNA,0,1
FONDKAPREMONT_MODE_not_specified,1,1
FONDKAPREMONT_MODE_org_spec_account,2,1
FONDKAPREMONT_MODE_reg_oper_account,3,1
FONDKAPREMONT_MODE_reg_oper_spec_account,4,1
HOUSETYPE_MODE_block_of_flats,0,1
HOUSETYPE_MODE_specific_housing,5,1
HOUSETYPE_MODE_terraced_house,0,1
WALLSMATERIAL_MODE_Block,0,1
WALLSMATERIAL_MODE_Mixed,0,1
WALLSMATERIAL_MODE_Monolithic,0,1
WALLSMATERIAL_MODE_Others,9,1
WALLSMATERIAL_MODE_Panel,11,1
WALLSMATERIAL_MODE_Stone__brick,42,1
WALLSMATERIAL_MODE_Wooden,0,1
EMERGENCYSTATE_MODE_No,1,1
EMERGENCYSTATE_MODE_Yes,0,1
DAYS_EMPLOYED_PERC,414,1
INCOME_CREDIT_PERC,274,1
INCOME_PER_PERSON,169,1
ANNUITY_INCOME_PERC,338,1
PAYMENT_RATE,1055,1
BURO_DAYS_CREDIT_MIN,133,1
BURO_DAYS_CREDIT_MAX,289,1
BURO_DAYS_CREDIT_MEAN,183,1
BURO_DAYS_CREDIT_VAR,203,1
BURO_DAYS_CREDIT_ENDDATE_MIN,83,1
BURO_DAYS_CREDIT_ENDDATE_MAX,246,1
BURO_DAYS_CREDIT_ENDDATE_MEAN,137,1
BURO_DAYS_CREDIT_UPDATE_MEAN,194,1
BURO_CREDIT_DAY_OVERDUE_MAX,7,1
BURO_CREDIT_DAY_OVERDUE_MEAN,4,1
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,316,1
BURO_AMT_CREDIT_SUM_MAX,149,1
BURO_AMT_CREDIT_SUM_MEAN,216,1
BURO_AMT_CREDIT_SUM_SUM,198,1
BURO_AMT_CREDIT_SUM_DEBT_MAX,79,1
BURO_AMT_CREDIT_SUM_DEBT_MEAN,258,1
BURO_AMT_CREDIT_SUM_DEBT_SUM,137,1
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,35,1
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,93,1
BURO_AMT_CREDIT_SUM_LIMIT_SUM,55,1
BURO_AMT_ANNUITY_MAX,66,1
BURO_AMT_ANNUITY_MEAN,52,1
BURO_CNT_CREDIT_PROLONG_SUM,6,1
BURO_MONTHS_BALANCE_MIN_MIN,47,1
BURO_MONTHS_BALANCE_MAX_MAX,11,1
BURO_MONTHS_BALANCE_SIZE_MEAN,67,1
BURO_MONTHS_BALANCE_SIZE_SUM,91,1
BURO_CREDIT_ACTIVE_Active_MEAN,53,1
BURO_CREDIT_ACTIVE_Bad_debt_MEAN,0,1
BURO_CREDIT_ACTIVE_Closed_MEAN,86,1
BURO_CREDIT_ACTIVE_Sold_MEAN,33,1
BURO_CREDIT_ACTIVE_nan_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_1_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_2_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_3_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_4_MEAN,0,1
BURO_CREDIT_CURRENCY_nan_MEAN,0,1
BURO_CREDIT_TYPE_Another_type_of_loan_MEAN,17,1
BURO_CREDIT_TYPE_Car_loan_MEAN,56,1
BURO_CREDIT_TYPE_Cash_loan__non_earmarked__MEAN,0,1
BURO_CREDIT_TYPE_Consumer_credit_MEAN,93,1
BURO_CREDIT_TYPE_Credit_card_MEAN,91,1
BURO_CREDIT_TYPE_Interbank_credit_MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_business_development_MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_purchase_of_shares__margin_lending__MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_the_purchase_of_equipment_MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_working_capital_replenishment_MEAN,0,1
BURO_CREDIT_TYPE_Microloan_MEAN,99,1
BURO_CREDIT_TYPE_Mobile_operator_loan_MEAN,0,1
BURO_CREDIT_TYPE_Mortgage_MEAN,84,1
BURO_CREDIT_TYPE_Real_estate_loan_MEAN,0,1
BURO_CREDIT_TYPE_Unknown_type_of_loan_MEAN,0,1
BURO_CREDIT_TYPE_nan_MEAN,0,1
BURO_STATUS_0_MEAN_MEAN,130,1
BURO_STATUS_1_MEAN_MEAN,56,1
BURO_STATUS_2_MEAN_MEAN,8,1
BURO_STATUS_3_MEAN_MEAN,0,1
BURO_STATUS_4_MEAN_MEAN,12,1
BURO_STATUS_5_MEAN_MEAN,0,1
BURO_STATUS_C_MEAN_MEAN,72,1
BURO_STATUS_X_MEAN_MEAN,67,1
BURO_STATUS_nan_MEAN_MEAN,0,1
ACTIVE_DAYS_CREDIT_MIN,151,1
ACTIVE_DAYS_CREDIT_MAX,386,1
ACTIVE_DAYS_CREDIT_MEAN,233,1
ACTIVE_DAYS_CREDIT_VAR,209,1
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,356,1
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,251,1
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,213,1
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,268,1
ACTIVE_CREDIT_DAY_OVERDUE_MAX,0,1
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,0,1
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,166,1
ACTIVE_AMT_CREDIT_SUM_MAX,190,1
ACTIVE_AMT_CREDIT_SUM_MEAN,154,1
ACTIVE_AMT_CREDIT_SUM_SUM,294,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,129,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,222,1
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,130,1
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,58,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,166,1
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,65,1
ACTIVE_AMT_ANNUITY_MAX,50,1
ACTIVE_AMT_ANNUITY_MEAN,56,1
ACTIVE_CNT_CREDIT_PROLONG_SUM,0,1
ACTIVE_MONTHS_BALANCE_MIN_MIN,32,1
ACTIVE_MONTHS_BALANCE_MAX_MAX,28,1
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,105,1
ACTIVE_MONTHS_BALANCE_SIZE_SUM,60,1
CLOSED_DAYS_CREDIT_MIN,121,1
CLOSED_DAYS_CREDIT_MAX,261,1
CLOSED_DAYS_CREDIT_MEAN,112,1
CLOSED_DAYS_CREDIT_VAR,267,1
CLOSED_DAYS_CREDIT_ENDDATE_MIN,124,1
CLOSED_DAYS_CREDIT_ENDDATE_MAX,267,1
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,156,1
CLOSED_DAYS_CREDIT_UPDATE_MEAN,193,1
CLOSED_CREDIT_DAY_OVERDUE_MAX,0,1
CLOSED_CREDIT_DAY_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,134,1
CLOSED_AMT_CREDIT_SUM_MAX,140,1
